title,company,location,job_url,search_term
"Head of POS (Processes, Organization and Systems)",ENGIE,"Dubai, DU, AE",https://ae.indeed.com/viewjob?jk=48a9d2282baaf611,VP Digital Transformation
DIRECTOR - OPTIMIZATION & EFFICIENCY,DP World,"Dubai, DU, AE",https://ae.indeed.com/viewjob?jk=092f1dabf54a72ac,VP Digital Transformation
Director Sales Representative (Insurance),Moody's,"Dubai, DU, AE",https://ae.indeed.com/viewjob?jk=2f1d222238987698,Director AI
Director Of Product Management,ITCAN,"Dubai, DU, AE",https://ae.indeed.com/viewjob?jk=65b83f3906e882f5,Director AI
Head of AI Engineering,Michael Page,"Dubai, Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4380163853,Director AI
Director of Data Science,Careem,"Dubai, Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4318354186,Director AI
Head of Data,Searchability®,"Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4378725714,Director AI
Head of Artificial Intelligence,Hays,"Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4351778628,Director AI
Tech Director,Globant,"الرياض, S01, SA",https://sa.indeed.com/viewjob?jk=c08ee77df4b01e3e,VP Digital Transformation
Director - Product Management,Qiddiya Investment Company,"الرياض, S01, SA",https://sa.indeed.com/viewjob?jk=8e94f2fa3a4e905b,Head of Technology
"Head of KSA, Business Development Climate & Sustainability Services",S&P Global,"الرياض, S01, SA",https://sa.indeed.com/viewjob?jk=ed5d4c01ce3b241e,Head of Technology
Head of Engineering,WEbook.com,"الرياض, S01, SA",https://sa.indeed.com/viewjob?jk=5304f2e61b1dd646,Head of Technology
Director - Product Management,Qiddiya | القدية,"Riyadh, Riyadh, Saudi Arabia",https://www.linkedin.com/jobs/view/4379650786,Head of Technology
Associate Vice President - Data Science,RAKBANK,,https://www.linkedin.com/jobs/view/4379936725,VP AI
Head of Project Excellence (PMO) - Middle East & India,Fugro,"Dubai, DU, AE",https://ae.indeed.com/viewjob?jk=d168b282ec25b6bb,Head of PMO
Project Director- PMCM,AECOM,"Dubai, Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4377749112,Head of PMO
Office Manager to CEO (Arabic Speaker),Dubai Holding,"Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4379910362,Head of PMO
Executive Travel & Logistics Coordinator (Corporate C-Suite)| Dubai,Moove,"Dubai, Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4377757767,Head of PMO
Head of Sustainability,"Arena Europe, Middle East & Asia","Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4379557811,Head of PMO
Head of Internal Governance & Compliance,Asico,"Dubai, Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4378739282,Head of PMO
Head of Project Excellence (PMO) - Middle East & India,Fugro,"Dubai, Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4377259350,Head of PMO
Founding Head of the Investor Club,Decentralized Masters,"Dubai, Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4378308298,Head of PMO
Chief Technology Officer,Bosperous Real Estate LLC,"Dubai, DU, AE",https://ae.indeed.com/viewjob?jk=c06735549c85c39d,CTO
Chief Technology Officer,People Pathways,"Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4380340326,CTO
Principal AI Systems Engineer,WYLE,"Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4375225528,CTO
Chief Technology Officer - Web3 Trading Infrastructure,Infinite Code,"Dubai, Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4375508471,CTO
"Vice President of Product Engineering, 2 Hour Learning (Remote) - $400,000/year USD",Crossover,"Dubai, Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4379445718,CTO
Director,The IN Group,"Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4380949605,CTO
Chief Information Security Officer,missing-link.io,"Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4378172635,Chief Digital Officer
Chief Executive Officer,Confidential,"Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4379915961,Chief Digital Officer
Chief Strategy Officer,Madison Pearl,"Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4372368161,Chief Digital Officer
Chief Executive Officer,Disrupt.com (formerly Gaditek),"Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4375919854,Chief Digital Officer
Chief Executive Officer （Brokerage）,"CGL Consulting Co., Ltd","Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4376935637,Chief Digital Officer
Creator.Group. Jobs: Chief Legal Officer at Marketing.MBA,Creator Group Holdings,"Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4361029995,Chief Digital Officer
Chief Strategy Officer - Madison Pearl,Jobs via eFinancialCareers,"Dubai, Dubai, United Arab Emirates",https://www.linkedin.com/jobs/view/4373557958,Chief Digital Officer
